grove,treatment,disease
Grove1,A,0
Grove1,B,1
Grove1,A,1
Grove1,B,1
Grove1,A,0
Grove1,B,0
Grove1,A,0
Grove1,B,1
Grove1,A,0
Grove1,B,0
Grove1,A,1
Grove1,B,1
Grove1,A,1
Grove1,B,1
Grove1,A,0
Grove1,B,1
Grove1,A,0
Grove1,B,1
Grove1,A,1
Grove1,B,1
Grove2,A,0
Grove2,B,1
Grove2,A,1
Grove2,B,0
Grove2,A,0
Grove2,B,0
Grove2,A,1
Grove2,B,0
Grove2,A,1
Grove2,B,0
Grove2,A,1
Grove2,B,1
Grove2,A,0
Grove2,B,1
Grove2,A,0
Grove2,B,0
Grove2,A,0
Grove2,B,1
Grove2,A,0
Grove2,B,1
Grove3,A,0
Grove3,B,1
Grove3,A,1
Grove3,B,1
Grove3,A,0
Grove3,B,1
Grove3,A,1
Grove3,B,1
Grove3,A,0
Grove3,B,0
Grove3,A,1
Grove3,B,1
Grove3,A,0
Grove3,B,1
Grove3,A,0
Grove3,B,0
Grove3,A,1
Grove3,B,1
Grove3,A,0
Grove3,B,1
Grove4,A,0
Grove4,B,1
Grove4,A,0
Grove4,B,1
Grove4,A,0
Grove4,B,1
Grove4,A,0
Grove4,B,1
Grove4,A,1
Grove4,B,1
Grove4,A,1
Grove4,B,1
Grove4,A,1
Grove4,B,1
Grove4,A,0
Grove4,B,0
Grove4,A,1
Grove4,B,0
Grove4,A,0
Grove4,B,1
Grove5,A,1
Grove5,B,0
Grove5,A,1
Grove5,B,1
Grove5,A,0
Grove5,B,0
Grove5,A,0
Grove5,B,0
Grove5,A,0
Grove5,B,0
Grove5,A,1
Grove5,B,1
Grove5,A,0
Grove5,B,0
Grove5,A,1
Grove5,B,1
Grove5,A,1
Grove5,B,0
Grove5,A,0
Grove5,B,1
Grove6,A,0
Grove6,B,0
Grove6,A,0
Grove6,B,1
Grove6,A,0
Grove6,B,0
Grove6,A,0
Grove6,B,1
Grove6,A,0
Grove6,B,0
Grove6,A,1
Grove6,B,0
Grove6,A,0
Grove6,B,0
Grove6,A,0
Grove6,B,0
Grove6,A,0
Grove6,B,1
Grove6,A,0
Grove6,B,0
Grove7,A,1
Grove7,B,1
Grove7,A,0
Grove7,B,0
Grove7,A,0
Grove7,B,0
Grove7,A,0
Grove7,B,0
Grove7,A,0
Grove7,B,1
Grove7,A,0
Grove7,B,1
Grove7,A,0
Grove7,B,0
Grove7,A,1
Grove7,B,0
Grove7,A,0
Grove7,B,0
Grove7,A,1
Grove7,B,1
Grove8,A,0
Grove8,B,1
Grove8,A,0
Grove8,B,0
Grove8,A,0
Grove8,B,1
Grove8,A,1
Grove8,B,1
Grove8,A,0
Grove8,B,0
Grove8,A,0
Grove8,B,1
Grove8,A,0
Grove8,B,1
Grove8,A,0
Grove8,B,1
Grove8,A,1
Grove8,B,0
Grove8,A,0
Grove8,B,0
